# xxxprof_vb_tag top-40 (sort=TotalTime desc)
# wall_s=13.858468 matlab_release=24.2.0.3157250 (R2024b) Update 8
# rdp_mat=C:\Users\andre\.cursor\RGMs\tests\demo1\optim1full\fixtures\DEMAtariIII_XXX_12_rgms_atari_optim1full_call4_rdp.mat
#
# rank     total_s        self_s         ncalls      function
  1        13.907677      13.907677      1           xxxprof_vb_tag
  2        13.906824      13.906824      1           xxxprof_vb_tag>xxxprof_run_profile_
  3        13.743291      13.743291      129         spm_MDP_VB_XXX
  4        6.383309       6.383309       384         spm_MDP_VB_XXX>spm_forwards
  5        3.220541       3.220541       384         spm_VBX
  6        2.397690       2.397690       128         spm_MDP_VB_XXX>spm_induction
  7        2.259773       2.259773       30976       spm_VBX>spm_VBX_update
  8        0.902647       0.902647       93413       spm_dot
  9        0.671903       0.671903       129         spm_MDP_checkX
  10       0.495126       0.495126       14394       spm_VBX>spm_margin
  11       0.423392       0.423392       74568       spm_MDP_VB_XXX>spm_norm
  12       0.387143       0.387143       78332       spm_parents
  13       0.285488       0.285488       31360       spm_edges
  14       0.258699       0.258699       61952       num2cell
  15       0.244446       0.244446       30976       spm_VBX>spm_VBX_sparse
  16       0.218450       0.218450       28788       spm_sum
  17       0.210223       0.210223       36139       spm_dir_norm
  18       0.179637       0.179637       32256       spm_MDP_VB_XXX>spm_sample
  19       0.151447       0.151447       50195       spm_MDP_VB_XXX>spm_log
  20       0.111515       0.111515       45370       spm_VBX>spm_log
  21       0.109261       0.109261       255         spm_MDP_VB_XXX>spm_action
  22       0.103586       0.103586       15360       deal
  23       0.103339       0.103339       14394       spm_VBX>spm_times
  24       0.090933       0.090933       129         spm_MDP_VB_XXX>spm_MDP_get_M
  25       0.063126       0.063126       258         mode
  26       0.058048       0.058048       3           spm_check_version
  27       0.051535       0.051535       3072        spm_kron
  28       0.046289       0.046289       3202        kron
  29       0.040870       0.040870       254         rmfield
  30       0.039185       0.039185       258         spm_combinations
  31       0.038168       0.038168       2560        spm_MDP_VB_XXX>spm_multiply
  32       0.036214       0.036214       384         repmat
  33       0.032862       0.032862       5374        spm_softmax
  34       0.025282       0.025282       384         repmat
  35       0.016535       0.016535       20          spm_MDP_VB_XXX>spm_hnorm
  36       0.013935       0.013935       128         spm_MDP_size
  37       0.013679       0.013679       387         shiftdim
  38       0.012496       0.012496       2           str2num
  39       0.004421       0.004421       257         spm_MDP_VB_XXX>spm_is_process
  40       0.003608       0.003608       768         repmat>checkSizesType
